rfid	op_id	soc_socialrs_sa	soc_socialavgti	soc_social_num_ti_1_5	soc_social_num_ti_4_5	soc_social_num_ti_7_5	soc_social_num_ti_10_5	soc_social_num_ti_13_5	soc_social_num_ti_16_5	soc_socialti_sa	soc_midconrs_sa	soc_midconavgti	soc_midcon_num_ti_1_5	soc_midcon_num_ti_4_5	soc_midcon_num_ti_7_5	soc_midcon_num_ti_10_5	soc_midcon_num_ti_13_5	soc_midcon_num_ti_16_5	soc_midconti_sa	soc_opconrs_sa	soc_opconavgti	soc_opcon_num_ti_1_5	soc_opcon_num_ti_4_5	soc_opcon_num_ti_7_5	soc_opcon_num_ti_10_5	soc_opcon_num_ti_13_5	soc_opcon_num_ti_16_5	soc_opconti_sa	soc_totalrs_sa	soc_avgtotalti	soc_total_num_ti_1_5	soc_total_num_ti_4_5	soc_total_num_ti_7_5	soc_total_num_ti_10_5	soc_total_num_ti_13_5	soc_total_num_ti_16_5	soc_totalti_sa	rt_trials_sa	rt_meanrt_sa	rt_devmedrt_sa	rt_falsealarm_sa	rt_peropfalsealarm_sa	rt_pinit_sa	rt_peropinit_sa	loco_sheet_id	loco_saact	loco_sadis	loco_sarear	loco_sacent	lr_lt_act_sa	lr_lt_inact_sa	lr_lt_tot_sa	lr_px_pre_act_sa	lr_px_pre_inact_sa	lr_px_pre_tot_sa	dd_pcd600	dd_pcd1200	dd_pcd1800	dd_pcd2400
CC1DCD1758	R61	-0.269749518	2573.264706	7	4	4	8	5	6	-0.257581929	-0.485507246	94.11538462	8	6	4	4	4		-0.553304126	-0.459183673	689.7241379	6	7	5	5	4	2	-0.28706872	-0.241167435	1235.280899	21	17	13	17	13	8	-0.236845759	-0.345679012	-0.10101791	-0.39664422	-0.375	0.541198909	-0.401748971	-0.108768248	R01_R78	-0.588768116	-0.66235012	-0.788888889	0.280092593	-0.297619048	-0.449275362	-0.24702381	-0.342592593	-0.325	-0.333333333	6.01	12.01	18.01	24.01
CC1DCD179D	R62	-0.610677083	2531.296296	6	8	2	4	2	5	0.472060005	-0.65	369.1764706	6	3	2	2	1	3	-0.512354312	-0.404761905	1293.2	6	5	4	6	5	3	0.327741535	-0.536093418	1532.662162	18	16	8	12	8	12	0.341731671	-0.283333333	0.119226522	0.352890673	-0.5	-0.309788109	-0.31199187	-0.239482871	R01_R78	-0.476851852	-0.545827929	-0.62345679	-0.439628483	-0.261111111	-0.366666667	-0.292156863	-0.469444444	-0.466666667	-0.397777778	6.01	12.01	18.01	24.01
CC1DCD175C	R63	-0.491666667	1629.75	8	3	6	7	4	4	0.340065295	-0.230392157	703.2	10	9	7	5	2	2	-0.309660047	-0.449275362	888.7586207	9	5	4	4	4	3	0.354714336	-0.379704301	1068.104167	27	17	17	16	10	9	0.129055822	-0.31	0.104713995	0.391611457	-0.715277778	-0.667826664	-0.313888889	-0.221201691	R01_R78	-0.390625	-0.522173489	-0.660714286	-0.51558753	-0.293103448	-0.509259259	-0.284552846	-0.462962963	-0.46875	-0.432291667	6.01	12.01	18.01	24.01
CC1DCD1766	R64	0.178571429	915.3939394	7	5	8	5	3	5	0.528721645	-0.52259887	395.4193548	11	6	3	3	5	3	-0.650828918	-0.525114155	697.4	7	5	4	4	9	6	0.142460652	-0.463541667	675.5050505	25	16	15	12	17	14	0.383867699	-0.35915493	-0.10321761	-0.590524184	-0.560606061	-0.525160337	-0.396440129	-0.153565833	R01_R78	-0.377659574	-0.507032349	-0.661904762	0.258169935	-0.441176471	-0.5	-0.384057971	-0.333333333	-0.432098765	-0.385113269	6.01	12.01	18.01	24.01
CC1DCD1755	R65	-0.472222222	980.1333333	5	4	2	1	2	1	-0.468704828	-0.628205128	653.5714286	6	5	2	4	2	2	-0.493803939	-0.645833333	700.1333333	4	3	2	3	1	2	-0.585130758	-0.471631206	763.3137255	15	12	6	8	5	5	-0.513995006	-0.460606061	-0.20934728	-0.547846263	-0.642857143	-0.468297559	-0.594501718	-0.315000614	R01_R78	-0.247252747	-0.445987654	-0.685606061	-0.581718346	-0.401129944	-0.208333333	-0.352320675	-0.466666667	-0.5	-0.414414414	6.01	12.01	18.01	24.01
CC1DCD175B	R66	-0.778846154	350.2307692	5	2	3	2	1		-0.682894554	-0.678571429	602.3333333	4	5	3		3		0.539359641	-0.717054264	689.5	6	2	3	2		1	-0.506189892	-0.634199134	553.3571429	15	9	9	4	4	1	-0.344585448	-0.275	0.177208044	-0.275030509	-0.583333333	-0.663141026	-0.376991714	0.165108331	R01_R78	-0.214285714	-0.390507012	-0.651041667	-0.595657277	-0.614942529	-0.5	-0.581300813	-0.58974359	-0.291666667	-0.425287356	6.01	12.01	18.01	24.01
CC1DCD1759	R67	-0.48245614	694.8181818	5	6	3	3	2	3	-0.402377043	-0.508547009	484.0952381	6	3	2	6	2	2	-0.455898095	-0.432098765	422.90625	9	5	4	6	5	3	-0.345852668	-0.417562724	519.8	20	14	9	15	9	8	-0.147868852	-0.547619048	0.386659335	-0.521114654	-0.722222222	0.577833278	-0.583333333	-0.353234095	R01_R78	-0.424908425	-0.602294007	-0.758064516	0.633016209	-0.217479675	-0.529166667	-0.265486726	-0.305555556	-0.503267974	-0.451690821	6.01	12.01	18.01	24.01
CC1DCD179E	R68	-0.196581197	348.1463415	10	5	4	11	6	5	0.451337638	-0.651515152	425.6666667	8	7	5	4	4	2	-0.476810882	0.463369963	598.7272727	5	5	10	5	4	4	0.355829421	-0.33008658	450.0192308	23	17	19	20	14	11	-0.220590195	-0.207070707	0.234920783	0.345525875	-0.763888889	-0.733704942	-0.3828125	-0.239203015	R01_R78	-0.348717949	-0.506980803	-0.671717172	-0.416880891	-0.424603175	-0.416666667	-0.422413793	-0.314814815	0.28	-0.18018018	6.01	12.01	18.01	24.01
CC1DCD1797	R69	-0.47254902	712.7241379	8	5	5	5	3	3	-0.267835636	-0.452380952	312.0416667	6	6	3	4	2	3	-0.474234766	-0.598484848	295.9473684	6	3	3	3	2	2	0.457344142	-0.43902439	469.1805556	20	14	11	12	7	8	-0.360644258	-0.337899543	0.230835766	0.634763941	-0.480392157	0.681166432	-0.386792453	0.1275779	R01_R78	-0.414141414	-0.513333333	-0.62345679	0.374113475	-0.544117647	-0.607142857	-0.5625	0.516129032	-0.607142857	-0.397058824	6.01	12.01	18.01	24.01
CC1DCD1749	R70	-0.636752137	615.5	4	6	2	1	2	1	-0.551793191	-0.666666667	482.3076923	5	2		4		1	-0.659410802	-0.645061728	991.5555556	5	6	6	4	4	2	-0.53761658	-0.592592593	765.8928571	14	15	8	9	6	4	-0.396612363	-0.490338164	0.321963178	0.552228397	-0.636363636	-0.381888747	-0.502109705	-0.254271726	R01_R78	-0.16	-0.507936508	-0.732323232	0.657809984	-0.442307692	-0.615942029	-0.523809524	-0.566666667	0.385964912	-0.449494949	6.01	12.01	18.01	24.01
