rfid	coatcolor	cued_age	epm1_age	ext01_age	lga01_age	oft1_age	pr_age	prime_age	site	surgery_weight	tf1_age	lga_total_heroin_consumption	lga_total_heroin_consumption_bysex	lga_escalation_of_heroin_intake_12h	lga_escalation_of_heroin_intake_12h_bysex	lga_escalation_of_heroin_intake_1h	pr_breakpoints	pr_break_points_bysex	prime_active	prime_active_bysex	prime_extinction_before_priming_active	ext_burst	ext_burst_bysex	ext_day_6_active	ext_day_6_active_bysex	ext_de_escalation	cued_active	cued_active_bysex	epm_percent_open_1	epm_percent_open_2	epm_percent_closed_1	epm_percent_closed_2	oft_distance_1	oft_distance_2	oft_time_1	oft_time_2	tf_bl_1	tf_bl_2	tf_test_1	tf_test_2	fst_swim	fst_climb	fst_float	fst_dive	room_box
933000320188527	BROWN	114	70	108	82	70	103	107	us	273	70	4660	-0.453192801	206.6666667	-0.23765872	40	4	-0.593946747	5	-0.193304713	6	7	-0.266949864	12	0.356160451	2	21	0.165391573	9.8	21.76666667	58.7	36.63333333	7196	4930	913.2	574.3	2.225	2.625	7.175	4.075	41	10	9	0	R_1
933000320188533	BLACKHOOD	114	70	108	82	70	103	107	us	182	70	16620	1.032130285	786.6666667	0.554512884	133.3333333	20	1.080865649	9	-0.163695693	3	21	0.762477242	16	0.650500625	-3	26	0.299924299	9.433333333	46.3	69.06666667	26.1	3443	4907	386.7	489.8	2.925	2.85	3.35	4.9	49	5	6	0	R_3
933000320188538	BROWN	114	70	108	82	70	103	107	us	185	70	18140	1.273019429	286.6666667	-0.122933485	93.33333333	15	0.500971122	7	-0.347187143	3	9	-0.328068843	11	0.141174275	6	22	0.074043811	9.2	11.03333333	69.5	47.63333333	8959	8177	939.3	761.7	2.5	2.725	3.275	2.85	34	11	15	0	R_3
933000320188135	BLACKHOOD	114	70	108	82	70	103	107	us	254	70	3900	-0.60138993	126.6666667	-0.38348158	13.33333333	2	-0.780037802	2	-0.382131324	8	10	-0.069853612	3	-0.602441614	-7	21	0.165391573	7.9	42.8	65.9	36.66666667	5687	4968	683.2	503.9	2.475	2.9	6.45	3.625	57	3	0	0	R_1
933000320188146	ALBINO	114	70	108	82	70	103	107	us	243	70	7580	0.116196168	313.3333333	-0.043228241	26.66666667	15	0.429554056	9	0.058464102	15	39	1.835410156	12	0.356160451	-1	21	0.165391573	17.53333333	36.4	45.13333333	24.26666667	14552	11024	1320.6	946.6	2.4	2.4	3.6	5.675	50	9	1	0	R_1
933000320188145	BROWN	114	70	108	82	70	103	107	us	177	70	980	-1.44649223	-53.33333333	-0.583597015	-20	2	-1.006754647	1	-0.897661495	0	2	-0.964220726	1	-0.877478426	1	3	-0.998888504	25.43333333	46.6	46.36666667	28.13333333	5153	6774	567	666.3	2.875	2.35	5.3	2.95	54	2	4	0	R_3
933000320188126	ALBINO	114	70	108	82	70	103	107	us	168	70	6000	-0.650924134	413.3333333	0.048686262	60	15	0.500971122	5	-0.530678594	2	5	-0.691584204	5	-0.470017346	-6	13	-0.434187286	6.933333333	26.7	68.06666667	42.1	8254	7935	767.8	622.5	2.775	3.25	8.875	5	47	5	8	0	R_3
933000320188143	ALBINO	110	67	104	78	67	99	103	us	253	67	3240	-0.730087437	-200	-0.978924924	-60	1	-0.87308333	2	-0.382131324	0	1	-0.661142368	1	-0.815464295	-1	0	-1.025293288	0.8	4.866666667	61.4	62.36666667	3219	1377	485.1	229.4	2.95	1.925	4.125	3.15	41	0	19	0	R_2
933000320188150	ALBINO	110	67	104	78	67	99	103	us	279	67	6680	-0.059300432	-180	-0.942469209	-66.66666667	6	-0.407855692	17	0.562001732	14	24	0.849928896	6	-0.282907592	1	10	-0.458300497	10.63333333	19.73333333	54.1	38.53333333	7347	4580	1005.5	628.1	3.375	2.45	6.675	4.5	38	6	16	0	R_2
933000320188149	BLACK	110	67	104	78	67	99	103	us	202	67	4880	-0.828421398	293.3333333	-0.113900866	80	9	-0.19490231	9	-0.163695693	14	9	-0.328068843	5	-0.470017346	-8	9	-0.660067773	19.6	47.2	47.76666667	25.86666667	12284	9659	1239.4	870.5	2.4	2.55	3.925	2.675	53	1	6	0	R_4
933000320188142	BROWN	110	67	104	78	67	99	103	us	169	67	4340	-0.914000437	-306.6666667	-0.926836508	-53.33333333	2	-1.006754647	1	-0.897661495	5	1	-1.055099566	5	-0.470017346	4	3	-0.998888504	20.2	28.33333333	53.73333333	38.23333333	5511	7130	561.7	725.5	2.35	2.45	3.625	4.775	41	11	8	0	R_4
933000320188138	BROWNHOOD	110	67	104	78	67	99	103	us	273	67	3720	-0.63648925	233.3333333	-0.1890511	113.3333333	6	-0.407855692	0	-0.508015731	1	4	-0.464046116	10	0.14313777	6	7	-0.628398334	0	51.93333333	69.4	20.8	5364	5269	742.2	658.2	2.425	1.775	5.375	2.675	47	9	4	0	L_2
933000320188141	BLACKHOOD	110	67	104	78	67	99	103	us	246	67	2960	-0.784686379	-133.3333333	-0.857405874	93.33333333	4	-0.593946747	2	-0.382131324	1	0	-0.726841119	10	0.14313777	8	10	-0.458300497	8.533333333	22.9	71.53333333	46.56666667	5666	6980	735.6	783.6	2.35	2.6	7.05	8.075	41	7	12	0	L_2
933000320188132	BLACKHOOD	110	67	104	78	67	99	103	us	191	67	15960	0.927533682	1420	1.412611617	293.3333333	15	0.500971122	12	0.111541484	2	7	-0.509826524	18	0.854231165	3	41	1.146976127	40.33333333	49.63333333	42.2	23.7	4841	9072	598.3	736.2	2	1.875	5.85	4.25	48	12	0	0	L_4
933000320188131	BLACK	110	67	104	78	67	99	103	us	171	67	26600	2.613757695	1526.666667	1.557133509	106.6666667	32	2.472612513	5	-0.530678594	4	14	0.126325359	18	0.854231165	-2	32	0.63874503	24.16666667	16	45.46666667	43.46666667	7660	7646	669.3	643.4	1.575	2.65	3.55	3.55	40	14	6	0	L_4
933000320188325	ALBINO	109	66	103	77	66	98	102	us	275	66	25480	3.606628545	2360	3.687406589	266.6666667	40	2.755692245	8	-0.004478101	12	32	1.375518902	54	4.829636753	34	61	2.433362736	0	0	59.3	53.46666667	6789	7441	874.1	840.9	3.175	2.1	6.075	6.95	35	2	23	0	L_2
