rfid	locomotor_cage	locomotor_t1_age	locomotor_t2_age	locomotor_t1_total_distance	locomotor_t1_rest_time	locomotor_t1_rest_episode_count	locomotor_t1_movement_episode_count	locomotor_t1_vertical_activity_count	locomotor_t1_center_time_legacy	locomotor_t2_total_distance	locomotor_t2_rest_time	locomotor_t2_rest_episode_count	locomotor_t2_movement_episode_count	locomotor_t2_vertical_activity_count	locomotor_t2_center_time_legacy	locomotor_fecal_boli_box	locomotor_fecal_boli_1	locomotor_fecal_boli_2	locomotor_fecal_boli_change	locomotor_fecal_boli_age_1	locomotor_fecal_boli_age_2
933000320047708	1	79	80	1886.28	531.99	128	128	950	51.26	1962.2	549	137	139	942	73.96	5	7	7	0	79	80
933000320047709	3	78	79	3289.52	305.87	142	152	1400	247.92	2111.05	421.47	166	170	1126	118.21	4	0	0	0	78	79
933000320047711	1	81	82	3771.38	319.19	125	134	2018	265.94	2942.18	396.84	149	156	1588	245.81	33	3	6	3	81	82
933000320047712	1	77	78	1487.13	417.43	149	153	1112	43.08	1488.6	448.49	160	165	994	33.41	3	6	3	-3	77	78
933000320047713	4	85	86	2357.75	322.47	142	149	1292	118.84	1291.88	459.64	177	180	928	24.97	40	3	5	2	85	86
933000320047714	3	78	79	5066.13	237.02	121	132	1794	174.92	2708.64	463.53	179	182	1162	81.84	8	1	0	-1	78	79
933000320047715	4	77	78	3490.14	355.62	143	150	1516	247.75	2114.31	571.4	139	139	809	79.73	8	6	13	7	77	78
933000320047716	1	82	83	3008.99	330.33	126	134	1295	313.13	2959.12	375.29	164	164	1275	181.82	35	9	7	-2	82	83
933000320047717	3	83	84	3703.56	170.87	89	102	2007	204.93	1614.48	362.72	119	127	1088	83.48	30	1	3	2	83	84
933000320047718	2	79	80	5076.73	265.12	127	136	860	91.43	5550.56	225.49	128	141	1486	119.31	5	8	0	-8	79	80
933000320047719	4	78	79	4163.32	342.87	135	145	1480	129.19	3439.88	435.69	152	157	1081	93.83	10	3	7	4	78	79
933000320047720	3	77	78	3312.08	309.1	131	143	1649	93.96	3057.02	354.94	146	154	1362	98.15	10	0	0	0	77	78
933000320047725	3	78	79	1838.08	495.63	130	136	860	281.06	2233.91	428.56	115	120	914	45.3	6	1	0	-1	78	79
933000320047752	3	79	80	2553.7	476.67	125	127	824	585.24	4116.42	339.21	109	118	1258	277.81	2	7	7	0	79	80
933000320047753	1	83	84	4335.41	313.04	127	137	1569	202.21	2291.63	511.21	151	159	914	154.48	31	0	3	3	83	84
933000320047754	1	83	84	3398.38	296.26	125	135	1439	572.98	3023.03	368.9	149	160	1136	432.08	35	9	4	-5	83	84
933000320047755	4	78	79	5555.49	282.6	138	152	2055	198.34	4019.47	393.55	148	154	1506	143.44	14	4	7	3	78	79
933000320047757	4	83	84	3183.85	408.92	132	141	1174	56.37	3764.16	409.5	147	148	925	55.45	38	5	2	-3	83	84
933000320047758	2	83	84	4564.7	289.61	133	143	1796	375.67	2741.89	351.72	166	171	909	132.08	31	0	0	0	83	84
933000320047759	3	83	84	4078.1	271.99	124	134	1628	122.16	4626.95	256.99	134	143	1502	167.46	32	0	0	0	83	84
933000320047760	3	79	80	2220.14	375.94	124	130	1270	165.63	1999.55	465.06	139	138	1133	252.77	16	7	2	-5	79	80
933000320047762	4	84	85	5308.41	302.59	137	145	1725	180.22	3953.92	372.05	154	163	1360	271.34	50	2	1	-1	84	85
933000320047767	3	79	80	4013.78	330.35	113	121	1583	157.72	2859.6	441.65	142	148	1221	66.6	6	0	0	0	79	80
933000320047768	1	79	80	2438.17	408.73	145	156	1441	122.04	908.56	548.79	159	166	1044	16.72	7	3	0	-3	79	80
933000320047769	2	83	84	3445.23	362.43	147	152	1508	153.5	2225.45	487.87	176	179	814	66.56	39	6	0	-6	83	84
933000320047770	4	79	80	3350.43	261.54	115	126	1463	229.76	2523.34	397.4	149	160	1305	133.07	16	6	7	1	79	80
933000320047771	4	83	84	4532.96	272.29	117	127	1843	111.2	1616.74	501.32	139	141	901	19.23	40	5	8	3	83	84
933000320047775	4	84	85	4901.11	300.17	133	140	1837	181.09	3538.73	388.12	146	155	1452	135.54	42	0	0	0	84	85
933000320047776	1	81	82	4517.45	302.24	119	130	2353	227.06	3581.45	333.26	131	135	1829	199.29	25	9	4	-5	81	82
933000320047777	3	82	83	2229.94	355.39	153	158	1141	249.17	1655.22	517.42	141	142	904	223.37	24	4	8	4	82	83
933000320047779	3	78	79	3335.89	193.73	106	118	1628	204.63	2579.78	291.21	136	144	1419	117.5	10	0	0	0	78	79
933000320047780	2	78	79	1937.6	342.4	145	156	1364	196.84	682.71	592.89	175	176	854	150.38	7	2	4	2	78	79
933000320047781	1	81	82	6072.26	218.04	98	106	2067	127.02	4982.05	294.89	135	145	1745	162.82	39	1	1	0	81	82
933000320047782	3	82	83	4037.34	269.26	125	132	1727	165.96	3272.49	330.93	156	168	1643	289.87	38	6	0	-6	82	83
933000320047783	3	83	84	3748.92	417.77	141	149	1289	476.47	3507.08	419.41	181	187	1439	386.86	42	2	4	2	83	84
933000320047784	4	81	82	2904.79	265.83	131	138	1874	74.1	2250.62	286.41	132	141	1596	72.84	24	0	0	0	81	82
933000320047785	2	83	84	2058.54	463.6	139	139	977	414.2	1666.64	478.62	177	185	889	279.19	43	8	4	-4	83	84
933000320047786	1	81	82	4732.54	198.58	104	117	1680	132.79	3443.62	449.62	124	126	1147	36.35	37	6	0	-6	81	82
933000320047788	2	83	84	3677.47	357.62	143	150	1293	369.48	2505.68	436.98	152	158	855	75.22	41	0	1	1	83	84
933000320047790	4	77	78	3066.09	249.65	123	135	1647	169.87	2331.06	300.81	132	143	1451	89.92	10	5	2	-3	77	78
933000320047791	3	83	84	4180.85	234.66	109	123	1913	136.59	2714.54	330.02	154	166	1167	94.32	50	0	0	0	83	84
933000320047795	3	78	79	3712.25	306.75	138	152	1669	244.35	3425.97	402.26	168	177	1710	266.54	14	0	0	0	78	79
933000320047797	1	77	78	3010.88	405.35	130	134	1126	201.23	1404.34	561.95	158	159	721	31.25	11	7	4	-3	77	78
933000320047798	4	82	83	3190.42	428.75	174	182	1420	221.58	3343.34	421.14	165	174	1348	473.92	48	11	9	-2	82	83
933000320047799	4	82	83	2789.2	418.98	115	124	1365	83.54	2943.71	401.53	146	156	1219	37.59	32	1	3	2	82	83
933000320047800	4	82	83	3420.57	346.71	153	166	1449	119.58	1538.69	495.02	187	194	917	26.98	36	6	0	-6	82	83
933000320047826	3	73	74	2439.42	384.51	145	149	1343	70.95	2058.21	440.2	160	164	1188	70.49	28	6	5	-1	73	74
933000320047827	1	73	74	5177.93	246.95	113	127	1801	64.57	3872.68	291.75	141	150	1330	81.52	25	0	0	0	73	74
933000320047829	4	73	74	3909.27	255.4	113	121	1821	90.2	2370.81	393.23	150	153	1421	13.93	22	3	1	-2	73	74
933000320047830	2	73	74	2529.95	426.21	162	171	1311	132.98	1969.92	486.8	176	184	879	37.62	21	0	0	0	73	74
933000320047831	4	81	82	1514.58	426.37	157	159	985	197.42	3219.2	421.36	147	154	1219	156.11	42	0	4	4	81	82
933000320047832	3	73	74	3274.66	246.21	117	131	1853	222.31	2458.59	371.39	146	157	1289	146.67	22	0	0	0	73	74
933000320047833	3	75	76	3922.19	249.2	129	136	1945	160.08	1807.14	437.02	148	156	1226	63.76	50	8	4	-4	75	76
933000320047834	4	75	76	3132.36	391.31	137	145	1535	92.85	1681.15	560.62	159	161	971	81.88	46	8	6	-2	75	76
933000320047835	1	75	76	2978.2	451.79	142	147	1475	64.62	3090.26	408.19	142	148	1231	69.89	13	1	0	-1	75	76
933000320047836	1	70	71	3137.24	265.63	123	132	1403	245.02	1918.81	415.61	151	157	1043	119.17	11	0	3	3	70	71
933000320047837	2	69	70	2737	302.85	133	144	1145	114.75	1592.94	403.15	167	173	839	54.25	11	8	6	-2	69	70
933000320047838	3	73	74	4421.44	280.77	111	124	1495	159.79	5112.11	327.51	138	145	1599	280.64	32	0	1	1	73	74
933000320047839	2	73	74	1973.3	466.69	149	153	1099	56.72	1506.42	504.63	171	174	720	28.76	25	3	7	4	73	74
933000320047840	4	75	76	4143.48	226.4	115	125	2131	153.18	1872	366.03	162	168	1323	70.3	50	4	7	3	75	76
933000320047841	4	73	74	2278.54	411.22	135	140	948	72.69	1878.21	410.19	154	161	838	41.9	32	6	5	-1	73	74
933000320047842	1	74	75	1103.76	568.16	141	141	546	45.22	2144.58	488.94	169	177	1002	150.6	21	3	3	0	74	75
933000320047843	3	75	76	2930.24	275.98	122	130	1528	201.74	1493.72	466.5	169	175	1053	154.25	46	2	4	2	75	76
933000320047844	4	73	74	3423.96	458.11	151	152	1470	207.54	2738.98	503.19	156	158	1337	191.58	24	7	5	-2	73	74
933000320047846	3	73	74	2432.6	364.49	156	168	1298	58.48	3166.92	377.43	150	158	1584	81.91	24	0	0	0	73	74
933000320047847	1	75	76	3073.22	214.37	98	110	1250	204.28	1774.84	386.67	141	147	1052	57.71	47	5	2	-3	75	76
933000320047849	2	75	76	2393.59	256.35	128	137	1810	91.52	1739.39	384.84	159	164	1325	78.66	47	6	0	-6	75	76
933000320047850	4	73	74	4266.49	302.29	126	136	1646	209.38	3553.01	332.1	132	142	1353	59.05	28	0	0	0	73	74
933000320047951	3	85	86	3108.04	345.15	143	153	1510	95.66	2334.65	337.65	139	148	1492	86.66	26	0	0	0	85	86
933000320047954	4	85	86	3162.03	414.72	147	157	1355	103.57	2446.76	401.76	164	173	1328	58.14	34	6	3	-3	85	86
933000320047957	4	85	86	3268.73	405.48	186	188	1442	101.28	2907.49	347.85	156	164	1242	34.89	26	4	0	-4	85	86
