rfid	rig_group	box	cue_age	inta_01_age	inta_15_age	pr_01_age	pr_02_age	sha_01_age	sha_10_age	shock_03_age	shock_base_age	labanimalid	sha_acquisition	sha_01_rewards	sha_01_locomotion	sha_01_inactive	sha_10_rewards	sha_10_locomotion	sha_10_inactive	sha_tot_rewards	sha_tot_locomotion	inta_01_rewards	inta_01_locomotion	inta_01_inactive	inta_15_rewards	inta_15_locomotion	inta_15_inactive	inta_tot_rewards	inta_tot_locomotion	inta_loco_difference	inta_esc_olivier_avg	inta_esc	inta_01_rewards_z	inta_13_15_rewards_z	inta_index_esc	inta_variability	inta_rewards_13_15	pr_01_breakpoint	pr_01_active	pr_01_inactive	pr_02_breakpoint	pr_02_active	pr_02_inactive	pr_breakpoint_difference	pr_active_difference	shock_base_active	cue_active	cue_inactive	cue_locomotion	life_tot_rewards	water_term_active	ld_hidetime_baseline	ld_hidetime_post	ld_hidetime_difference
AA1DCD66C1	mork_3	15	142	101	121	100	122	86	99	127	124	P445	10	59	6600	0	62	1209	0	479	31400	42	8745	9	55	13659	0	839	188951	4914	3.333333333	13	1.35160555	1.11017799	0.821377205	5.755770052	55	178	1059	1	328	2098	82	150	1039	55	63	38	2181	1447		644.93	476.5	-168.43
AA1DCD674D	oscar_2	2	132	91	111	90	112	76	89	117	114	P446	0	6	2445	3	1	976	1	9	10434	1	1376	1	25	10126	2	148	62811	8750	28.33333333	24	-1.072074534	-0.100309206	0.093565516	10.93536566	29.33333333	0	0	0	20	79	4	20	79	12	47	9	1580	192		496.8	510.07	13.27
AA1DCD6692	mork_2	1	142	101	121	100	122	86	99	127	124	P447	10	49	12670	18	46	3595	1	532	60173	43	15983	2	46	14402	7	685	231898	-1581	-1.666666667	3	1.410719699	0.622838989	0.441504425	3.645392831	44.66666667	62	336	70	62	331	34	0	-5	32	52	21	2082	1286		526.2	511.47	-14.73
AA1DCD66DE	oscar_1	2	141	100	120	99	121	85	98	126	123	P448	10	22	4911	5	40	6016	2	258	53436	26	7191	2	41	14719	0	592	150564	7528	9.666666667	15	0.405779176	0.559956537	1.379953852	5.931460379	43.33333333	62	329	8	77	423	38	15	94	31	68	13	2195	936		370.73	428.87	58.14
AA1DCD6691	oscar_2	5	141	100	120	99	121	85	98	126	123	P451	0	0	1149	0	2	1039	2	6	10292	0	1065	0	48	8555	1	547	121366	7490	35.66666667	48	-1.131188682	0.874368796	-0.77296459	15.77705789	50	2	5	0	219	1264	118	217	1259	33	119	15	1802	611		518.93	501.63	-17.3
AA1DCD66B3	oscar_1	3	141	100	120	99	121	85	98	126	123	P452	10	17	1873	3	39	2505	0	232	31600	11	3474	4	33	7904	33	361	95092	4430	5	22	-0.48093305	-0.053147368	0.110508869	8.094991593	30.33333333	118	666	10	268	1624	78	150	958	21	122	5	1544	659		587.9	460.2	-127.7
AA1DCD66C8	oscar_2	7	140	99	119	98	120	84	97	125	122	P453	2	0	1687	0	23	6475	0	49	21598	10	4710	0	32	3895	0	344	124838	-815	12	22	-0.540047198	-0.131750432	0.243960959	9.511163032	28.66666667	9	31	10	62	323	61	53	292	0	40	2	1771	421		479.73	750.57	270.84
AA1DCD6754	mork_2	8	131	90	110	89	111	75	88	116	113	P456	5	30	4529	34	4	1863	1	114	30716	14	7713	1	40	12876	0	410	163962	5163	21	26	-0.303590605	0.449912246	-1.481970258	11.11555467	41	1	1	5	95	542	39	94	541	29	73	6	2293	598		422.17	542.33	120.16
AA1DCD66A2	oscar_2	3	140	99	119	98	120	84	97	125	122	P457	0	1	1602	0	0	741	2	1	10559	0	2367	4	7	3632	1	31	34872	1265	6	7	-1.131188682	-1.185031499	1.047598441	2.407396011	6.333333333	0	0	0	12	48	10	12	48	1	15	6	886	41		551.5	727.37	175.87
AA1DCD6716	mork_2	7	131	90	110	89	111	75	88	116	113	P458	10	30	10622	14	37	7392	8	317	96728	42	15251	1	45	19535	1	624	246586	4284	1	3	1.35160555	0.607118376	0.449183104	3.282275633	44.33333333	50	240	22	118	641	68	68	401	32	120	13	3087	1020		803.93	456.33	-347.6
